fen,move_rank,move
r3rbk1/ppq2ppp/1n6/1N1p4/1P2n3/2P2N2/PB3PPP/2RQR1K1 b - - 12 17,1,"{'Move': 'c7c4', 'Centipawn': -173, 'Mate': None}"
r3rbk1/ppq2ppp/1n6/1N1p4/1P2n3/2P2N2/PB3PPP/2RQR1K1 b - - 12 17,2,"{'Move': 'c7d7', 'Centipawn': -143, 'Mate': None}"
r3rbk1/ppq2ppp/1n6/1N1p4/1P2n3/2P2N2/PB3PPP/2RQR1K1 b - - 12 17,3,"{'Move': 'c7d8', 'Centipawn': -109, 'Mate': None}"
r3rbk1/pp3ppp/1nq5/1N1p4/1P2n3/2P2N2/PB3PPP/2RQR1K1 w - - 13 18,1,"{'Move': 'b5d4', 'Centipawn': -91, 'Mate': None}"
r3rbk1/pp3ppp/1nq5/1N1p4/1P2n3/2P2N2/PB3PPP/2RQR1K1 w - - 13 18,2,"{'Move': 'f3d4', 'Centipawn': -143, 'Mate': None}"
r3rbk1/pp3ppp/1nq5/1N1p4/1P2n3/2P2N2/PB3PPP/2RQR1K1 w - - 13 18,3,"{'Move': 'd1d3', 'Centipawn': -157, 'Mate': None}"
r3rbk1/pp3ppp/1nq5/1N1p4/1P1Nn3/2P5/PB3PPP/2RQR1K1 b - - 14 18,1,"{'Move': 'c6d7', 'Centipawn': -152, 'Mate': None}"
r3rbk1/pp3ppp/1nq5/1N1p4/1P1Nn3/2P5/PB3PPP/2RQR1K1 b - - 14 18,2,"{'Move': 'c6c8', 'Centipawn': -126, 'Mate': None}"
r3rbk1/pp3ppp/1nq5/1N1p4/1P1Nn3/2P5/PB3PPP/2RQR1K1 b - - 14 18,3,"{'Move': 'c6c4', 'Centipawn': -106, 'Mate': None}"
r1q1rbk1/pp3ppp/1n6/1N1p4/1P1Nn3/2P5/PB3PPP/2RQR1K1 w - - 15 19,1,"{'Move': 'c1c2', 'Centipawn': -130, 'Mate': None}"
r1q1rbk1/pp3ppp/1n6/1N1p4/1P1Nn3/2P5/PB3PPP/2RQR1K1 w - - 15 19,2,"{'Move': 'b5a3', 'Centipawn': -132, 'Mate': None}"
r1q1rbk1/pp3ppp/1n6/1N1p4/1P1Nn3/2P5/PB3PPP/2RQR1K1 w - - 15 19,3,"{'Move': 'd1b3', 'Centipawn': -134, 'Mate': None}"
r1q1rbk1/pp3ppp/1n6/1N1p4/PP1Nn3/2P5/1B3PPP/2RQR1K1 b - - 0 19,1,"{'Move': 'b6c4', 'Centipawn': -258, 'Mate': None}"
r1q1rbk1/pp3ppp/1n6/1N1p4/PP1Nn3/2P5/1B3PPP/2RQR1K1 b - - 0 19,2,"{'Move': 'g7g6', 'Centipawn': -146, 'Mate': None}"
r1q1rbk1/pp3ppp/1n6/1N1p4/PP1Nn3/2P5/1B3PPP/2RQR1K1 b - - 0 19,3,"{'Move': 'a7a6', 'Centipawn': -135, 'Mate': None}"
r1q1rbk1/pp3ppp/8/1N1p4/PPnNn3/2P5/1B3PPP/2RQR1K1 w - - 1 20,1,"{'Move': 'd1b3', 'Centipawn': -255, 'Mate': None}"
r1q1rbk1/pp3ppp/8/1N1p4/PPnNn3/2P5/1B3PPP/2RQR1K1 w - - 1 20,2,"{'Move': 'd1c2', 'Centipawn': -260, 'Mate': None}"
r1q1rbk1/pp3ppp/8/1N1p4/PPnNn3/2P5/1B3PPP/2RQR1K1 w - - 1 20,3,"{'Move': 'd1e2', 'Centipawn': -262, 'Mate': None}"
r1q1rbk1/pp3ppp/8/1N1p4/PPnNn3/2P5/5PPP/B1RQR1K1 b - - 2 20,1,"{'Move': 'a7a6', 'Centipawn': -463, 'Mate': None}"
r1q1rbk1/pp3ppp/8/1N1p4/PPnNn3/2P5/5PPP/B1RQR1K1 b - - 2 20,2,"{'Move': 'e4f2', 'Centipawn': -269, 'Mate': None}"
r1q1rbk1/pp3ppp/8/1N1p4/PPnNn3/2P5/5PPP/B1RQR1K1 b - - 2 20,3,"{'Move': 'c8d7', 'Centipawn': -190, 'Mate': None}"
r1q1rbk1/1p3ppp/p7/1N1p4/PPnNn3/2P5/5PPP/B1RQR1K1 w - - 0 21,1,"{'Move': 'd4c2', 'Centipawn': -462, 'Mate': None}"
r1q1rbk1/1p3ppp/p7/1N1p4/PPnNn3/2P5/5PPP/B1RQR1K1 w - - 0 21,2,"{'Move': 'd4f3', 'Centipawn': -464, 'Mate': None}"
r1q1rbk1/1p3ppp/p7/1N1p4/PPnNn3/2P5/5PPP/B1RQR1K1 w - - 0 21,3,"{'Move': 'b5a3', 'Centipawn': -485, 'Mate': None}"
r1q1rbk1/1p3ppp/p7/1N1p4/PPnNn3/2P2P2/6PP/B1RQR1K1 b - - 0 21,1,"{'Move': 'e4f6', 'Centipawn': -496, 'Mate': None}"
r1q1rbk1/1p3ppp/p7/1N1p4/PPnNn3/2P2P2/6PP/B1RQR1K1 b - - 0 21,2,"{'Move': 'a6b5', 'Centipawn': -361, 'Mate': None}"
